Disease,Steps
Cervical spondylosis,"Treatment for cervical spondylosis depends on the severity of your signs and symptoms. The goal of treatment is to relieve pain, help you maintain your usual activities as much as possible, and prevent permanent injury to the spinal cord and nerves. If over-the-counter pain relievers aren't enough, your doctor might prescribe Nonsteroidal anti-inflammatory drugs, Corticosteroids, Muscle relaxants, Anti-seizure medications and 
Antidepressants"
Paralysis (brain hemorrhage),"A doctor will examine you immediately if any type of brain hemorrhage is suspected. Diagnosis is usually made based on the results of an evaluation of your physical symptoms and several tests such as Computed tomography (CT) scan, magnetic resonance imaging (MRI) or magnetic resonance angiogram (MRA) of your brain. These imaging tests determine the location, extent and sometimes the cause of the bleed."
Jaundice,"Jaundice usually doesn't require treatment in adults (it's a more severe problem in infants). The causes and complications of jaundice can be treated. For instance, if itching is bothersome, it may be eased by cholestyramine (Questran®). In cases of intentional or unintentional acetaminophen (Tylenol) overdose, the antidote N-acetylcysteine (Mucomyst) may be required."
Malaria,"The most common antimalarial drugs include Chloroquine phosphate and Artemisinin-based combination therapies (ACTs). Examples of ACTs include artemether-lumefantrine (Coartem) and artesunate-mefloquine.
Other common antimalarial drugs include: Atovaquone-proguanil (Malarone), Quinine sulfate (Qualaquin) with doxycycline (Oracea, Vibramycin, others), Primaquine phosphate etc."
Chicken pox,"If you’ve been exposed to someone who has chickenpox but doesn’t have symptoms yet, your doctor may give you an injection of a treatment called immunoglobulin. It can help prevent severe chickenpox. If you’re at risk for severe chickenpox and already have symptoms, your doctor might prescribe an antiviral medication called acyclovir (Sitavig, Zovirax). It can help to make your symptoms less severe."
Dengue,"There is no specific medicine to treat dengue infection. If you think you may have dengue fever, you should use pain relievers with acetaminophen and avoid medicines with aspirin, which could worsen bleeding. You should also rest, drink plenty of fluids, and see your doctor."
Typhoid,"The only effective treatment for typhoid is antibiotics. The most commonly used are ciprofloxacin (for non-pregnant adults) and ceftriaxone. Other than antibiotics, it is important to rehydrate by drinking adequate water. In more severe cases, where the bowel has become perforated, surgery may be required."
hepatitis A,"No specific treatment exists for hepatitis A. Your body will clear the hepatitis A virus on its own. In most cases of hepatitis A, the liver heals within six months with no lasting damage. Hepatitis A treatment usually focuses on keeping comfortable and controlling signs and symptoms."
Hepatitis B,"Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medications — including entecavir (Baraclude), tenofovir (Viread), lamivudine (Epivir), adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver."
Hepatitis C,Hepatitis C is treated using direct-acting antiviral (DAA) tablets. DAA tablets are the safest and most effective medicines for treating hepatitis C. They're highly effective at clearing the infection in more than 90% of people. The tablets are taken for 8 to 12 weeks.
Hepatitis D,"There are no known treatments for acute or chronic hepatitis D. Unlike other forms of hepatitis, current antiviral medications don't seem to be very effective in treating HDV. You may be given large doses of a medication called interferon for up to 12 months."
Hepatitis E,"There is no specific treatment capable of altering the course of acute hepatitis E. As the disease is usually self-limiting, hospitalization is generally not required. Most important is the avoidance of unnecessary medications."
Alcoholic hepatitis,"Treatment for alcoholic hepatitis involves quitting drinking and therapies to ease the signs and symptoms of liver damage.If you have severe alcoholic hepatitis, your doctor might recommend:
Corticosteroids. 
Pentoxifylline."
Tuberculosis,The usual treatment is: 2 antibiotics (isoniazid and rifampicin) for 6 months. 2 additional antibiotics (pyrazinamide and ethambutol) for the first 2 months of the 6-month treatment period.
Common Cold,"Cold remedies that work
Stay hydrated. Water, juice, clear broth or warm lemon water with honey helps loosen congestion and prevents dehydration. Rest. Your body needs rest to heal.
Sip warm liquids. 
Try honey. 
Add moisture to the air."
Pneumonia,"Mild pneumonia can usually be treated at home with rest, antibiotics (if it's likely be caused by a bacterial infection) and by drinking plenty of fluids. More severe cases may need hospital treatment."
Dimorphic hemmorhoids(piles),"Apply an over-the-counter hemorrhoid cream or suppository containing hydrocortisone, or use pads containing witch hazel or a numbing agent. Soak regularly in a warm bath or sitz bath. Soak your anal area in plain warm water for 10 to 15 minutes two to three times a day."
Heart attack,please seek immediate help 
Varicose veins,"Self-care — such as exercise, raising the legs when sitting or lying down, or wearing compression stockings — can help ease the pain of varicose veins and might prevent them from getting worse.If self-care steps and compression stockings don't work, or varicose veins are more severe, a health care provider might recommend surgery or other procedures:"
Hypothyroidism,"The best treatment for hypothyroidism is pure synthetic T4 (levothyroxine sodium). It works just like your thyroid hormone and has few, if any, noticeable side effects.
Treatments for hypothyroidism
Levothroid.
Levoxyl.
Synthroid.
Unithroid."
Hyperthyroidism,"Possible treatments include:
Radioactive iodine. Taken by mouth, radioactive iodine is absorbed by your thyroid gland, where it causes the gland to shrink. ...
Anti-thyroid medications. ...
Beta blockers. ...
Surgery (thyroidectomy)."
Hypoglycemia,"Eat or drink 15 to 20 grams of fast-acting carbohydrates. These are sugary foods without protein or fat that are easily converted to sugar in the body. Try glucose tablets or gel, fruit juice, regular — not diet — soft drinks, honey, and sugary candy."
Osteoarthristis,"Medications (topical pain medicines and oral analgesics including nonsteroidal anti-inflammatory medications, NSAIDs).
Exercise (land- and water-based).
Intermittent hot and cold packs (local modalities).
Physical, occupational, and exercise therapy.
Weight loss (if overweight)."
Arthritis,"Arthritis treatment focuses on relieving symptoms and improving joint function.Over-the-counter pain medications, such as acetaminophen (Tylenol, others), ibuprofen (Advil, Motrin IB, others) or naproxen sodium (Aleve) can help relieve occasional pain triggered by activity your muscles and joints aren't used to — such as gardening after a winter indoors.Many types of medications are available for arthritis pain relief. Most are relatively safe, but no medication is completely free of side effects. Talk with your doctor to formulate a medication plan for your specific pain symptoms.

"
(vertigo) Paroymsal  Positional Vertigo,"Benign paroxysmal positional vertigo may go away on its own within a few weeks or months. But, to help relieve BPPV sooner, your doctor, audiologist or physical therapist may treat you with a series of movements known as the canalith repositioning procedure."
Acne,"if you've tried over-the-counter (nonprescription) acne products for several weeks and they haven't helped, ask your doctor about prescription-strength medications. A dermatologist can help you:
Control your acne
Avoid scarring or other damage to your skin
Make scars less noticeable Retinoids and retinoid-like drugs. "
Urinary tract infection,"Antibiotics usually are the first line treatment for urinary tract infections.Drugs commonly recommended for simple UTIs include:
Trimethoprim/sulfamethoxazole (Bactrim, Septra, others)
Fosfomycin (Monurol)
Nitrofurantoin (Macrodantin, Macrobid)
Cephalexin (Keflex)
Ceftriaxone."
Psoriasis,"Treatment aims to remove scales and stop skin cells from growing so quickly. Topical ointments, light therapy and medication can offer relief. Stress management, Petroleum jelly, Light therapy, Ultraviolet light therapy, Moisturizer and Coal tar extract"
Impetigo,"Impetigo is treated with antibiotics that are either rubbed onto the sores (topical antibiotics) or taken by mouth (oral antibiotics). A doctor might recommend a topical ointment, such as mupirocin or retapamulin, for only a few sores. Oral antibiotics can be used when there are more sores."
